epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4901,1.07937,0.94272,0.79911,0.96588,0.69048,0.81273,0.66244,0.65881,1.84158,0.49008,0.000663492,0.000663492,0.000663492
2,70.3289,1.23343,0.98196,0.79434,0.94507,0.70238,0.78989,0.58353,0.70625,2.50094,0.48185,0.0013137,0.0013137,0.0013137
3,103.129,1.30414,1.02432,0.80666,0.93956,0.69762,0.78397,0.62977,0.66043,1.26295,0.47877,0.0019474,0.0019474,0.0019474
4,136.664,1.3846,1.09605,0.80849,0.95723,0.7,0.7925,0.51863,0.83317,1.97883,0.47603,0.00192575,0.00192575,0.00192575
5,169.682,1.38009,1.04401,0.80406,0.95736,0.69498,0.78562,0.59852,0.71498,1.32425,0.48259,0.001901,0.001901,0.001901
6,202.915,1.31906,1.04267,0.80422,0.96012,0.68791,0.80723,0.60559,0.7387,1.77896,0.48227,0.00187625,0.00187625,0.00187625
7,235.972,1.33995,1.02797,0.81023,0.9424,0.7,0.78383,0.59361,0.71355,1.7017,0.47225,0.0018515,0.0018515,0.0018515
8,269.741,1.28983,0.98841,0.79841,0.95543,0.6881,0.79877,0.63694,0.61659,1.72117,0.47495,0.00182675,0.00182675,0.00182675
9,302.649,1.27571,1.0509,0.7982,0.94819,0.69726,0.78498,0.6128,0.62488,1.66394,0.47357,0.001802,0.001802,0.001802
10,335.271,1.28299,1.01412,0.79921,0.95807,0.69048,0.80032,0.63236,0.65173,1.69696,0.47468,0.00177725,0.00177725,0.00177725
11,370.57,1.28212,1.01163,0.78997,0.96643,0.68571,0.80454,0.60088,0.69085,1.50981,0.47648,0.0017525,0.0017525,0.0017525
12,406.447,1.29572,1.02863,0.79911,0.95042,0.70476,0.83155,0.6145,0.67574,1.55994,0.4721,0.00172775,0.00172775,0.00172775
13,442.484,1.24066,0.95647,0.79671,0.95398,0.7,0.7939,0.62774,0.63533,1.48589,0.47561,0.001703,0.001703,0.001703
14,479.284,1.27991,1.03897,0.79384,0.92837,0.70972,0.81093,0.6143,0.66739,1.88577,0.47119,0.00167825,0.00167825,0.00167825
15,514.758,1.26206,0.97116,0.80018,0.95477,0.7037,0.8271,0.6461,0.64667,1.67583,0.47177,0.0016535,0.0016535,0.0016535
16,550.414,1.23463,0.99149,0.79025,0.97503,0.69286,0.82697,0.64775,0.58814,1.60393,0.47008,0.00162875,0.00162875,0.00162875
